province_isocode;region_isocode;cashless_id;date_id;transactions_value;transactions_volume
RI;SM;SCLR;22;3731.531;220
RI;SM;SCLR;23;4119.940;235
RI;SM;SCLR;24;4864.844;248
RI;SM;SCLR;25;3676.184;214
RI;SM;SCLR;26;3016.649;179
RI;SM;SCLR;27;4065.824;187
RI;SM;SCLR;28;3925.049;204
RI;SM;SCLR;29;2839.584;225
RI;SM;SCLR;30;3512.317;216
RI;SM;SCLR;31;2681.045;217
RI;SM;SCLR;32;2936.977;232
RI;SM;SCLR;33;2863.160;213
RI;SM;SCLR;34;2694.750;226
RI;SM;SCLR;35;2862.884;231
RI;SM;SCLR;36;3419.243;223
RI;SM;RTGS;1;17680.542;2090
RI;SM;RTGS;2;17489.890;1967
RI;SM;RTGS;3;16507.152;2547
RI;SM;RTGS;4;15448.573;2342
RI;SM;RTGS;5;13001.617;1927
RI;SM;RTGS;6;18808.660;2880
RI;SM;RTGS;7;16586.324;3263
RI;SM;RTGS;8;12487.149;2903
RI;SM;RTGS;9;15235.618;3439
RI;SM;RTGS;10;10650.004;3139
RI;SM;RTGS;11;13356.705;3748
RI;SM;RTGS;12;13511.393;4198
RI;SM;RTGS;13;11216.569;3148
RI;SM;RTGS;14;9291.439;3214
RI;SM;RTGS;15;13425.587;3711
RI;SM;RTGS;16;12273.121;3707
RI;SM;RTGS;17;10109.507;3008
RI;SM;RTGS;18;11176.125;3326
RI;SM;RTGS;19;12330.305;2858
RI;SM;RTGS;20;15501.221;3252
RI;SM;RTGS;21;14910.761;3408
RI;SM;RTGS;22;22631.927;3408
RI;SM;RTGS;23;19586.072;3720
RI;SM;RTGS;24;25413.253;4421
RI;SM;RTGS;25;14570.700;3342
RI;SM;RTGS;26;11651.594;2831
RI;SM;RTGS;27;19019.491;3685
RI;SM;RTGS;28;22667.797;3763
RI;SM;RTGS;29;13727.483;2614
RI;SM;RTGS;30;19903.747;3380
RI;SM;RTGS;31;14537.418;3159
RI;SM;RTGS;32;15100.197;3260
RI;SM;RTGS;33;17429.074;3483
RI;SM;RTGS;34;15825.097;3357
RI;SM;RTGS;35;17882.381;3333
RI;SM;RTGS;36;21585.503;3999
SS;SM;DBTC;1;12740.683;219508637
SS;SM;DBTC;2;11962.605;212260303
SS;SM;DBTC;3;12360.721;213535419
SS;SM;DBTC;4;11117.067;168310534
SS;SM;DBTC;5;13227.851;180117519
SS;SM;DBTC;6;10603.140;175029718
SS;SM;DBTC;7;13345.403;199665580
SS;SM;DBTC;8;13867.580;199198527
SS;SM;DBTC;9;13274.107;197799578
SS;SM;DBTC;10;14459.549;194474445
SS;SM;DBTC;11;13586.190;202105174
SS;SM;DBTC;12;15453.382;218507892
SS;SM;DBTC;13;13207.686;201771644
SS;SM;DBTC;14;11888.451;191883628
SS;SM;DBTC;15;13877.691;215038313
SS;SM;DBTC;16;14518.808;214236536
SS;SM;DBTC;17;15934.342;222972725
SS;SM;DBTC;18;14836.666;211282343
SS;SM;DBTC;19;15143.211;201312312
SS;SM;DBTC;20;8224.785;211169789
SS;SM;DBTC;21;13814.830;217288145
SS;SM;DBTC;22;11208.014;229811920
SS;SM;DBTC;23;11722.336;229372306
SS;SM;DBTC;24;10857.600;243703070
SS;SM;DBTC;25;15375.626;98837009
SS;SM;DBTC;26;14120.552;84593840
SS;SM;DBTC;27;16522.721;102251331
SS;SM;DBTC;28;18410.579;104295425
SS;SM;DBTC;29;14787.892;93547757
SS;SM;DBTC;30;15592.716;97271120
SS;SM;DBTC;31;17531.055;104022387
SS;SM;DBTC;32;16996.593;103489041
SS;SM;DBTC;33;14606.013;151246335
SS;SM;DBTC;34;14676.505;153281012
SS;SM;DBTC;35;14462.683;136443843
SS;SM;DBTC;36;15726.902;148287613
SS;SM;CRDC;1;200.855;14637895
