time_date;province_isocode;region_isocode;payment_system_name;Category;Unit;value
2022-01-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.777
2022-02-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.468
2022-03-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.840
2022-04-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.719
2022-05-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.905
2022-06-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.846
2022-07-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.835
2022-08-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.048
2022-09-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.884
2022-10-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.995
2022-11-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.005
2022-12-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.143
2020-01-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;12.652
2020-02-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;12.229
2020-03-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;13.281
2020-04-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;12.556
2020-05-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;10.954
2020-06-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;17.024
2020-07-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;18.235
2020-08-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;16.644
2020-09-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;19.024
2020-10-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;17.430
2020-11-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;20.621
2020-12-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;21.659
2021-01-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;18.205
2021-02-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;17.370
2021-03-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;20.978
2021-04-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;20.824
2021-05-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;17.727
2021-06-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;20.013
2021-07-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;18.013
2021-08-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;19.258
2021-09-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;20.776
2021-10-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;20.823
2021-11-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;21.578
2021-12-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;25.132
2022-01-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;20.303
2022-02-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;17.430
2022-03-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;23.474
2022-04-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;22.249
2022-05-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;16.361
2022-06-01;BT;JW;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;21.200
